file,duration
ben_tts_00000.wav,4.24
ben_tts_00001.wav,4.176
ben_tts_00002.wav,5.088
ben_tts_00003.wav,4.08
ben_tts_00004.wav,3.936
ben_tts_00005.wav,4.096
ben_tts_00006.wav,2.496
ben_tts_00007.wav,3.12
ben_tts_00008.wav,3.104
ben_tts_00009.wav,2.144
ben_tts_00010.wav,4.544
ben_tts_00011.wav,3.744
ben_tts_00012.wav,5.04
ben_tts_00013.wav,3.952
ben_tts_00014.wav,3.776
ben_tts_00015.wav,3.552
ben_tts_00016.wav,3.072
ben_tts_00017.wav,3.2
ben_tts_00018.wav,2.96
ben_tts_00019.wav,2.128
ben_tts_00020.wav,4.144
ben_tts_00021.wav,4.08
ben_tts_00022.wav,5.088
ben_tts_00023.wav,4.288
ben_tts_00024.wav,4.112
ben_tts_00025.wav,4.544
ben_tts_00026.wav,2.464
ben_tts_00027.wav,3.2
ben_tts_00028.wav,2.8
ben_tts_00029.wav,1.968
ben_tts_00030.wav,3.824
ben_tts_00031.wav,3.984
ben_tts_00032.wav,4.944
ben_tts_00033.wav,4.272
ben_tts_00034.wav,4.608
ben_tts_00035.wav,4.192
ben_tts_00036.wav,2.656
ben_tts_00037.wav,3.104
ben_tts_00038.wav,2.848
ben_tts_00039.wav,2.576
ben_tts_00040.wav,4.704
ben_tts_00041.wav,3.6
ben_tts_00042.wav,4.496
ben_tts_00043.wav,4.272
ben_tts_00044.wav,4.752
ben_tts_00045.wav,3.808
ben_tts_00046.wav,2.816
ben_tts_00047.wav,3.904
ben_tts_00048.wav,3.376
ben_tts_00049.wav,1.936
ben_tts_00050.wav,4.416
ben_tts_00051.wav,3.696
ben_tts_00052.wav,6.448
ben_tts_00053.wav,3.984
ben_tts_00054.wav,4.032
ben_tts_00055.wav,3.872
ben_tts_00056.wav,2.64
ben_tts_00057.wav,3.456
ben_tts_00058.wav,3.168
ben_tts_00059.wav,2.288
ben_tts_00060.wav,4.528
ben_tts_00061.wav,4.208
ben_tts_00062.wav,6.448
ben_tts_00063.wav,4.368
ben_tts_00064.wav,3.44
ben_tts_00065.wav,3.904
ben_tts_00066.wav,2.688
ben_tts_00067.wav,3.552
ben_tts_00068.wav,3.104
ben_tts_00069.wav,1.968
ben_tts_00070.wav,4.672
ben_tts_00071.wav,3.696
ben_tts_00072.wav,6.608
ben_tts_00073.wav,3.408
ben_tts_00074.wav,4.288
ben_tts_00075.wav,4.464
