filename,split,recording_id,language,duration_s,speaker_id
mlaad_bn_IndicF5_000001.wav,train,mlaad_bn_IndicF5_000001,bn,23.600,
mlaad_bn_IndicF5_000002.wav,train,mlaad_bn_IndicF5_000002,bn,15.000,
mlaad_bn_IndicF5_000003.wav,train,mlaad_bn_IndicF5_000003,bn,11.840,
mlaad_bn_IndicF5_000004.wav,train,mlaad_bn_IndicF5_000004,bn,5.753,
mlaad_bn_IndicF5_000005.wav,train,mlaad_bn_IndicF5_000005,bn,4.373,
mlaad_bn_IndicF5_000006.wav,train,mlaad_bn_IndicF5_000006,bn,22.026,
mlaad_bn_IndicF5_000007.wav,train,mlaad_bn_IndicF5_000007,bn,14.144,
mlaad_bn_IndicF5_000008.wav,train,mlaad_bn_IndicF5_000008,bn,34.303,
mlaad_bn_IndicF5_000009.wav,train,mlaad_bn_IndicF5_000009,bn,20.920,
mlaad_bn_IndicF5_000010.wav,train,mlaad_bn_IndicF5_000010,bn,10.197,
mlaad_bn_IndicF5_000011.wav,train,mlaad_bn_IndicF5_000011,bn,17.899,
mlaad_bn_IndicF5_000012.wav,train,mlaad_bn_IndicF5_000012,bn,19.327,
mlaad_bn_IndicF5_000013.wav,train,mlaad_bn_IndicF5_000013,bn,19.895,
mlaad_bn_IndicF5_000014.wav,train,mlaad_bn_IndicF5_000014,bn,25.087,
mlaad_bn_IndicF5_000015.wav,train,mlaad_bn_IndicF5_000015,bn,14.027,
mlaad_bn_IndicF5_000016.wav,train,mlaad_bn_IndicF5_000016,bn,39.679,
mlaad_bn_IndicF5_000017.wav,train,mlaad_bn_IndicF5_000017,bn,25.525,
mlaad_bn_IndicF5_000018.wav,train,mlaad_bn_IndicF5_000018,bn,23.722,
mlaad_bn_IndicF5_000019.wav,train,mlaad_bn_IndicF5_000019,bn,7.915,
mlaad_bn_IndicF5_000020.wav,train,mlaad_bn_IndicF5_000020,bn,24.849,
mlaad_bn_IndicF5_000021.wav,train,mlaad_bn_IndicF5_000021,bn,26.831,
mlaad_bn_IndicF5_000022.wav,train,mlaad_bn_IndicF5_000022,bn,5.291,
mlaad_bn_IndicF5_000023.wav,train,mlaad_bn_IndicF5_000023,bn,29.151,
mlaad_bn_IndicF5_000024.wav,train,mlaad_bn_IndicF5_000024,bn,17.717,
mlaad_bn_IndicF5_000025.wav,train,mlaad_bn_IndicF5_000025,bn,21.165,
mlaad_bn_IndicF5_000026.wav,train,mlaad_bn_IndicF5_000026,bn,7.115,
mlaad_bn_IndicF5_000027.wav,train,mlaad_bn_IndicF5_000027,bn,17.663,
mlaad_bn_IndicF5_000028.wav,train,mlaad_bn_IndicF5_000028,bn,17.728,
mlaad_bn_IndicF5_000029.wav,train,mlaad_bn_IndicF5_000029,bn,9.173,
mlaad_bn_IndicF5_000030.wav,train,mlaad_bn_IndicF5_000030,bn,14.048,
mlaad_bn_IndicF5_000031.wav,train,mlaad_bn_IndicF5_000031,bn,8.192,
mlaad_bn_IndicF5_000032.wav,train,mlaad_bn_IndicF5_000032,bn,15.735,
mlaad_bn_IndicF5_000033.wav,train,mlaad_bn_IndicF5_000033,bn,20.383,
mlaad_bn_IndicF5_000034.wav,train,mlaad_bn_IndicF5_000034,bn,13.959,
mlaad_bn_IndicF5_000035.wav,train,mlaad_bn_IndicF5_000035,bn,23.803,
mlaad_bn_IndicF5_000036.wav,train,mlaad_bn_IndicF5_000036,bn,24.949,
mlaad_bn_IndicF5_000037.wav,train,mlaad_bn_IndicF5_000037,bn,6.933,
mlaad_bn_IndicF5_000038.wav,train,mlaad_bn_IndicF5_000038,bn,5.786,
mlaad_bn_IndicF5_000039.wav,train,mlaad_bn_IndicF5_000039,bn,15.980,
mlaad_bn_IndicF5_000040.wav,train,mlaad_bn_IndicF5_000040,bn,20.235,
